Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
620,Alex Roldan,sv SLV,DF,Seattle,25,1996,29,77,2.66,71,3,1,1,0,1,9,0.31,9,0,0,0,0,0,Matches
621,Cristian Roldan,us USA,"FW,MF",Seattle,26,1995,23.4,78,3.34,67,0,2,4,5,0,10,0.43,8,0,0,1,1,0,Matches
622,Jhohan Romaña,co COL,DF,Austin,23,1998,3.7,3,0.8,3,0,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
623,David Romney,us USA,DF,Nashville,28,1993,29.4,26,0.89,12,8,0,6,0,0,3,0.1,1,1,0,1,0,0,Matches
624,Rafael Romo,ve VEN,GK,D.C. United,31,1990,13.5,1,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
625,Eloy Room,cw CUW,GK,Columbus Crew,32,1989,34,1,0.03,1,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
626,Joseph Rosales,hn HON,MF,Minnesota Utd,21,2000,11.7,22,1.88,12,5,2,1,2,0,4,0.34,2,1,0,0,1,0,Matches
627,Oriol Rosell,es ESP,MF,Sporting KC,29,1992,10,10,1,8,1,0,0,0,1,1,0.1,0,1,0,0,0,0,Matches
628,Keegan Rosenberry,us USA,"DF,MF",Colorado Rapids,28,1993,32.9,45,1.37,36,5,3,1,0,0,4,0.12,2,2,0,0,0,0,Matches
629,Matheus Rossetto,br BRA,MF,Atlanta Utd,25,1996,17.8,41,2.3,35,1,1,2,1,1,3,0.17,2,0,0,1,0,0,Matches
630,Paul Rothrock,us USA,"FW,DF",Toronto FC,23,1999,0.4,1,2.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
631,Kelyn Rowe,us USA,"DF,MF",Seattle,30,1991,14.5,24,1.66,20,1,1,1,0,1,3,0.21,3,0,0,0,0,0,Matches
632,Ruan,br BRA,DF,Orlando City,26,1995,27.3,56,2.05,48,0,3,3,2,0,5,0.18,4,0,0,0,1,0,Matches
633,Rubio Rubin,gt GUA,"FW,MF",Real Salt Lake,25,1996,9.6,14,1.46,13,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
634,Diego Rubio,cl CHI,"MF,FW",Colorado Rapids,28,1993,27.1,121,4.47,91,2,7,9,11,1,17,0.63,12,0,0,3,2,0,Matches
635,Raúl Ruidíaz,pe PER,FW,Seattle,31,1990,14.5,30,2.07,11,1,6,6,6,0,6,0.41,2,0,0,2,2,0,Matches
636,Pablo Ruíz,ar ARG,MF,Real Salt Lake,23,1998,26.8,86,3.21,48,27,1,6,2,2,9,0.34,5,3,0,1,0,0,Matches
637,Sergio Ruiz,es ESP,MF,Charlotte,27,1994,8,23,2.86,18,2,0,1,2,0,5,0.62,3,0,0,0,2,0,Matches
638,Albert Rusnák,sk SVK,MF,Seattle,27,1994,28.9,93,3.22,69,18,0,5,1,0,4,0.14,4,0,0,0,0,0,Matches
639,Johnny Russell,sct SCO,"FW,MF",Sporting KC,31,1990,30,83,2.77,63,4,8,2,6,0,7,0.23,7,0,0,0,0,0,Matches
640,Jacen Russell-Rowe,ca CAN,FW,Columbus Crew,19,2002,2.5,8,3.14,5,0,0,1,2,0,3,1.18,2,0,0,1,0,0,Matches
641,Zach Ryan,us USA,FW,NY Red Bulls,23,1999,0.5,1,2.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
642,Ryan Sailor,us USA,DF,Inter Miami,23,1998,16.9,2,0.12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
643,Carlos Salcedo,mx MEX,DF,Toronto FC,28,1993,12.8,7,0.55,5,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
644,Adam Saldaña,us USA,MF,LA Galaxy,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
645,Shea Salinas,us USA,"FW,DF",San Jose,35,1986,2.3,8,3.53,4,0,1,2,1,0,2,0.88,0,0,1,0,1,0,Matches
646,Dániel Sallói,hu HUN,"FW,MF",Sporting KC,25,1996,28.1,84,2.99,57,3,12,5,5,2,12,0.43,8,0,1,1,2,0,Matches
647,Gaoussou Samaké,ci CIV,DF,D.C. United,24,1997,1.2,2,1.61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
648,Ilie Sánchez,es ESP,MF,Los Angeles FC,31,1990,29.7,56,1.88,52,0,0,3,0,1,6,0.2,4,0,0,2,0,0,Matches
649,William Sands,us USA,DF,Columbus Crew,21,2000,7.1,6,0.84,5,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
650,Sergio Santos Gomes,br BRA,FW,Philadelphia,27,1994,6.8,33,4.88,25,0,3,1,2,2,4,0.59,4,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
651,Sergio Santos Gomes,br BRA,FW,FC Cincinnati,27,1994,1.5,8,5.22,3,0,1,0,4,0,1,0.65,0,0,0,0,1,0,Matches
652,Koa Santos,us USA,MF,Charlotte,22,1999,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
653,Nuno Santos,pt POR,"MF,FW",Charlotte,22,1999,1.8,5,2.81,4,0,0,1,0,0,2,1.13,1,0,0,1,0,0,Matches
654,Pedro Santos,pt POR,DF,Columbus Crew,33,1988,25.9,53,2.05,37,5,1,4,3,3,7,0.27,5,1,0,0,1,0,Matches
655,C.J. Sapong,us USA,FW,Nashville,33,1988,27.4,59,2.15,43,1,3,5,7,0,8,0.29,5,0,0,1,2,0,Matches
656,Jefferson Savarino,ve VEN,"FW,MF",Real Salt Lake,25,1996,16.9,82,4.85,54,16,6,4,2,0,6,0.35,4,2,0,0,0,0,Matches
657,Rodrigo Schlegel,ar ARG,DF,Orlando City,24,1997,24.1,14,0.58,10,1,0,2,1,0,1,0.04,0,0,0,1,0,0,Matches
658,Tate Schmitt,us USA,"DF,MF",Real Salt Lake,24,1997,9.6,10,1.05,9,0,1,0,0,0,1,0.1,1,0,0,0,0,0,Matches
659,Alessandro Schöpf,at AUT,MF,Vancouver,27,1994,3.8,7,1.85,6,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
660,Eddie Segura,co COL,DF,Los Angeles FC,24,1997,9.2,7,0.76,6,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
661,Amar Sejdic,us USA,MF,Atlanta Utd,25,1996,14.5,34,2.34,31,0,0,2,1,0,2,0.14,2,0,0,0,0,0,Matches
662,Boris Sekulić,sk SVK,DF,Chicago Fire,30,1991,31.3,63,2.01,51,3,2,5,1,1,5,0.16,4,0,0,1,0,0,Matches
663,Brandon Servania,us USA,MF,FC Dallas,22,1999,14.7,29,1.98,21,2,0,4,2,0,5,0.34,4,0,0,1,0,0,Matches
664,Jacob Shaffelburg,ca CAN,"DF,FW",Toronto FC,22,1999,6.5,7,1.08,5,0,1,1,0,0,2,0.31,2,0,0,0,0,0,Matches
665,Jacob Shaffelburg,ca CAN,"MF,FW",Nashville,22,1999,5.6,22,3.92,12,0,3,3,3,1,3,0.53,2,0,0,0,1,0,Matches
666,Xherdan Shaqiri,ch SUI,MF,Chicago Fire,30,1991,25,123,4.92,90,23,4,4,2,0,13,0.52,11,2,0,0,0,0,Matches
667,Brek Shea,us USA,DF,Inter Miami,31,1990,1.8,2,1.12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
